district_name,uid,area,min,max,mean,count,sum,median,source_file,centroid,bounds
Medak,TSD0010,2771.68,25.36395263671875,26.560211181640625,25.7895751953125,25.0,644.7393798828125,25.677032470703125,31-03-2023.geojson,"[78.25824850555264, 17.956574082577863]",
Nagarkurnool,TSD0011,6399.07,25.098724365234375,27.774261474609375,26.57311767578125,50.0,1328.6558837890625,26.573211669921875,31-03-2023.geojson,"[78.58857647281062, 16.389142237051235]",
Nalgonda,TSD0012,7218.26,26.180145263671875,27.8726806640625,27.185813903808594,64.0,1739.89208984375,27.180908203125,31-03-2023.geojson,"[79.19301472034303, 16.87692074824761]",
Nirmal,TSD0013,3729.13,26.15142822265625,27.5035400390625,26.726837158203125,32.0,855.2587890625,26.617645263671875,31-03-2023.geojson,"[78.31699355816836, 19.114130687608668]",
Nizamabad,TSD0014,4168.33,26.125457763671875,27.098876953125,26.6996244542739,34.0,907.7872314453125,26.709915161132812,31-03-2023.geojson,"[78.20482550088794, 18.70265275287659]",
Peddapalli,TSD0015,2195.39,27.35589599609375,28.0230712890625,27.787160237630207,18.0,500.16888427734375,27.8350830078125,31-03-2023.geojson,"[79.45523488442778, 18.62087616434993]",
Rajanna Sircilla,TSD0016,1897.97,26.111785888671875,27.189117431640625,26.637968063354492,16.0,426.2074890136719,26.604644775390625,31-03-2023.geojson,"[78.76019366323104, 18.425667296980095]",
Sangareddy,TSD0017,4460.37,25.176666259765625,26.688720703125,25.941575792100693,36.0,933.896728515625,26.002426147460938,31-03-2023.geojson,"[77.8743389606641, 17.7860620089045]",
Siddipet,TSD0018,3637.17,25.31610107421875,27.09613037109375,26.128946238550647,29.0,757.7394409179688,26.036590576171875,31-03-2023.geojson,"[78.84824565922057, 18.009624641220498]",
Vikarabad,TSD0019,3618.96,25.245025634765625,26.402984619140625,25.78923297750539,29.0,747.8877563476562,25.800079345703125,31-03-2023.geojson,"[77.74593740335436, 17.25474880524307]",
Wanaparthy,TSD0020,2174.67,26.446746826171875,27.7701416015625,27.03347608778212,18.0,486.6025695800781,26.997711181640625,31-03-2023.geojson,"[78.03702611426529, 16.293469013815827]",
Warangal Rural,TSD0021,2139.98,27.016845703125,27.956085205078125,27.47745028409091,22.0,604.50390625,27.481689453125,31-03-2023.geojson,"[79.7502031232394, 17.923738139779893]",
Warangal Urban,TSD0022,1294.45,26.839111328125,27.805694580078125,27.282070922851563,10.0,272.8207092285156,27.211669921875,31-03-2023.geojson,"[79.47837226395748, 18.02463739511114]",
Yadadri Bhuvanagiri,TSD0023,3422.72,25.4364013671875,26.813140869140625,26.303431919642858,28.0,736.49609375,26.413925170898438,31-03-2023.geojson,"[78.99514545853893, 17.45604943922443]",
Narayanpet,TSD0024,2380.13,25.74676513671875,26.81585693359375,26.443325805664063,20.0,528.8665161132812,26.569107055664062,31-03-2023.geojson,"[77.58109853968095, 16.64806882624636]",
Jogulamba Gadwal,TSD0025,2574.21,26.80218505859375,28.247283935546875,27.583526611328125,22.0,606.8375854492188,27.556182861328125,31-03-2023.geojson,"[77.78100589186505, 16.07197293220882]",
Rangareddy,TSD0026,4997.54,25.22314453125,26.72564697265625,25.745858541349087,41.0,1055.5802001953125,25.71258544921875,31-03-2023.geojson,"[78.41195074939806, 17.132164589550737]",
Suryapet,TSD0027,3584.22,26.770751953125,27.85491943359375,27.403652848868536,29.0,794.7059326171875,27.38323974609375,31-03-2023.geojson,"[79.75491488779194, 17.080574047365182]",
Medchal Malkajgiri,TSD0028,1088.52,25.25048828125,25.93817138671875,25.525278727213543,9.0,229.72750854492188,25.4637451171875,31-03-2023.geojson,"[78.55767227540055, 17.543524002760133]",
Adilabad,TSD0029,3980.34,26.31549072265625,27.9342041015625,27.105583422111742,33.0,894.4842529296875,27.030517578125,31-03-2023.geojson,"[78.56516888256076, 19.520583182394112]",
Hyderabad,TSD0030,182.64,25.56903076171875,25.93267822265625,25.7508544921875,2.0,51.501708984375,25.7508544921875,31-03-2023.geojson,"[78.46696611965449, 17.39599799813276]",
Kumurambheem Asifabad,TSD0031,4495.32,26.442626953125,28.5220947265625,27.65044487847222,36.0,995.416015625,27.652572631835938,31-03-2023.geojson,"[79.41516675337719, 19.359212805741603]",
Jayashankar Bhupalpally,TSD0032,2946.01,27.73870849609375,28.8310546875,28.246429443359375,24.0,677.914306640625,28.157730102539062,31-03-2023.geojson,"[79.92787070175133, 18.50206900623134]",
Mahabubnagar,TSD0033,2749.62,25.15203857421875,27.145355224609375,26.13439471905048,26.0,679.4942626953125,26.132980346679688,31-03-2023.geojson,"[77.99005585064445, 16.756204506499706]",
Bhadradri Kothagudem,TSD0001,6974.14,30.311614990234375,32.341552734375,31.571623771421372,62.0,1957.440673828125,31.595458984375,31-05-2023.geojson,"[80.70439006278075, 17.689273994357553]",
Jagtial,TSD0002,2853.09,30.31317138671875,32.38714599609375,31.388451209435097,26.0,816.0997314453125,31.402053833007812,31-05-2023.geojson,"[78.87574330838751, 18.8338023749505]",
Jangoan,TSD0003,2112.71,30.53173828125,31.74090576171875,31.18701814350329,19.0,592.5533447265625,31.151275634765625,31-05-2023.geojson,"[79.27607800489348, 17.750740986831726]",
Mulugu,TSD0004,4189.02,30.3603515625,33.454803466796875,31.97293998099662,37.0,1182.998779296875,32.055389404296875,31-05-2023.geojson,"[80.33786772661823, 18.29047147518736]",
Kamareddy,TSD0005,3701.83,29.9656982421875,31.61041259765625,30.643292595358457,34.0,1041.8719482421875,30.469635009765625,31-05-2023.geojson,"[78.06329890793397, 18.326243692893655]",
Karimnagar,TSD0006,2127.79,31.461029052734375,32.701629638671875,32.10028076171875,18.0,577.8050537109375,32.12928771972656,31-05-2023.geojson,"[79.23853687837321, 18.380183921305157]",
Khammam,TSD0007,4491.25,30.805328369140625,31.896575927734375,31.501369569359756,41.0,1291.55615234375,31.59625244140625,31-05-2023.geojson,"[80.35668821773643, 17.199094525973987]",
Mahabubabad,TSD0008,3551.04,30.65283203125,31.638702392578125,31.27856866244612,29.0,907.0784912109375,31.40283203125,31-05-2023.geojson,"[79.9868218423423, 17.665218729780197]",
Mancherial,TSD0009,3909.4,30.86822509765625,33.402923583984375,32.374969482421875,32.0,1035.9990234375,32.536529541015625,31-05-2023.geojson,"[79.51701293789398, 18.993531032765564]",
