district_name,uid,area,min,max,mean,count,sum,median,source_file,centroid,bounds
Mahabubabad,TSD0008,3551.04,29.78545379638672,40.26529312133789,35.670221228563776,933.0,33280.31640625,35.55666732788086,01-04-2022.geojson,"[79.9868218423423, 17.665218729780197]",
Mancherial,TSD0009,3909.4,30.540000915527344,42.71285629272461,38.287591558597505,1041.0,39857.3828125,38.331050872802734,01-04-2022.geojson,"[79.51701293789398, 18.993531032765564]",
Medak,TSD0010,2771.68,29.888750076293945,44.86666488647461,38.19002470527046,721.0,27535.0078125,38.21476364135742,01-04-2022.geojson,"[78.25824850555264, 17.956574082577863]",
Nagarkurnool,TSD0011,6399.07,33.24777603149414,45.011051177978516,39.769476433801096,1639.0,65182.171875,40.19631576538086,01-04-2022.geojson,"[78.58857647281062, 16.389142237051235]",
Nalgonda,TSD0012,7218.26,28.58888816833496,45.606998443603516,38.171961805555554,1890.0,72145.0078125,37.88051223754883,01-04-2022.geojson,"[79.19301472034303, 16.87692074824761]",
Nirmal,TSD0013,3729.13,27.649999618530273,46.93000030517578,40.42157937058527,991.0,40057.78515625,40.32545471191406,01-04-2022.geojson,"[78.31699355816836, 19.114130687608668]",
Nizamabad,TSD0014,4168.33,27.60700035095215,44.9471435546875,37.37758287920072,1101.0,41152.71875,37.49399948120117,01-04-2022.geojson,"[78.20482550088794, 18.70265275287659]",
Peddapalli,TSD0015,2195.39,30.454999923706055,39.88199996948242,35.26311479810997,582.0,20523.1328125,35.49311065673828,01-04-2022.geojson,"[79.45523488442778, 18.62087616434993]",
Rajanna Sircilla,TSD0016,1897.97,29.93000030517578,42.563682556152344,37.42128208705357,504.0,18860.326171875,37.475067138671875,01-04-2022.geojson,"[78.76019366323104, 18.425667296980095]",
Sangareddy,TSD0017,4460.37,27.825294494628906,47.76894760131836,41.726054288903065,1176.0,49069.83984375,41.95829772949219,01-04-2022.geojson,"[77.8743389606641, 17.7860620089045]",
Siddipet,TSD0018,3637.17,29.43695640563965,42.500999450683594,36.98768866099071,969.0,35841.0703125,37.04899978637695,01-04-2022.geojson,"[78.84824565922057, 18.009624641220498]",
