district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Kamareddy,TSSD0577,82.32,"{'count': 0, 'min': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'max': 0.0005545668536797166, 'median': 0.0005545668536797166}","(77.75813508500005, 18.372326572000077, 77.86341082200005, 18.505311680000034)",28-02-2023.geojson,Birkoor,,,,,
Adilabad,TSSD0578,34.92,"{'count': 0, 'min': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'max': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.48710289700006, 19.60170591600007, 78.54305936500003, 19.683661252000036)",28-02-2023.geojson,Mavala,,,,,
Peddapalli,TSSD0579,122.7,"{'count': 0, 'min': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'max': 0.0005545668536797166, 'median': 0.0005545668536797166}","(79.31124542100008, 18.728421345000072, 79.45668509800004, 18.855615717000035)",28-02-2023.geojson,Anthergaon,,,,,
Mulugu,TSSD0580,576.05,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 4, 'sum': 0.0022182674147188663, 'median': 0.0005545668536797166}","(80.37410149900006, 18.33990656700007, 80.68734144600006, 18.632607707000034)",28-02-2023.geojson,Wazeed,,,,,
Nizamabad,TSSD0581,158.53,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.47512705800006, 18.684195498000065, 78.64029038200005, 18.900912592000054)",28-02-2023.geojson,Kammarpally,,,,,
Jangoan,TSSD0582,120.55,"{'min': 0.0012094203848391771, 'max': 0.0012094203848391771, 'mean': 0.0012094203848391771, 'count': 1, 'sum': 0.0012094203848391771, 'median': 0.0012094203848391771}","(79.38361325200003, 17.491730369000038, 79.56249112400008, 17.63017571100005)",28-02-2023.geojson,Kodakandla,,,,,
Narayanpet,TSSD0583,172.63,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(77.23725451100006, 16.366338565000035, 77.45641595200004, 16.49439566000018)",28-02-2023.geojson,Krishna,,,,,
Mancherial,TSSD0584,414.48,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 3, 'sum': 0.0016637005610391498, 'median': 0.0005545668536797166}","(79.69063140800006, 18.824880136000047, 79.96247775100005, 19.055750638000063)",28-02-2023.geojson,Kotapalle,,,,,
Warangal_Rural,TSSD0585,96.85,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 2, 'sum': 0.0011091337073594332, 'median': 0.0005545668536797166}","(79.58000525100005, 18.13079426400003, 79.67613864900011, 18.273366891000023)",28-02-2023.geojson,Nadikuda,,,,,
Medchal_Malkajgiri,TSSD0586,92.19,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.60919935000027, 17.572950565000042, 78.72357522400006, 17.698451215000034)",28-02-2023.geojson,Muduchinthalaphally,,,,,
