district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Sangareddy,TSSD0205,148.77,"{'min': 97.1058349609375, 'max': 99.18656921386719, 'mean': 98.42579369028662, 'count': 628, 'sum': 61811.3984375, 'median': 98.65887451171875}","(77.76680836100007, 18.084424897000076, 77.94552432200004, 18.20773521800004)",31-12-2023.geojson,Kalher,,,,,
Khammam,TSSD0206,369.38,"{'min': 123.46942138671875, 'max': 131.92076110839844, 'mean': 128.71711830799737, 'count': 1513, 'sum': 194749.0, 'median': 128.37884521484375}","(80.41727157700007, 17.030005989000074, 80.66704650100007, 17.34559519800007)",31-12-2023.geojson,Kalluru,,,,,
Jogulamba Gadwal,TSSD0207,176.12,"{'min': 94.1021499633789, 'max': 100.12317657470703, 'mean': 100.08900709219859, 'count': 705, 'sum': 70562.75, 'median': 100.12317657470703}","(77.48561464400007, 16.116851987000075, 77.61961696400004, 16.303990486000032)",31-12-2023.geojson,Kaloor_Thimmandoddi,,,,,
Nagarkurnool,TSSD0208,291.99,"{'min': 104.4312515258789, 'max': 108.59719848632812, 'mean': 107.69968521527214, 'count': 1231, 'sum': 132578.3125, 'median': 108.59719848632812}","(78.36374511900004, 16.483303271000068, 78.58638191300008, 16.728683611000065)",31-12-2023.geojson,Kalwakurthy,,,,,
Warangal_Urban,TSSD0209,158.52,"{'min': 113.09281921386719, 'max': 114.23838806152344, 'mean': 114.22995673784978, 'count': 679, 'sum': 77562.140625, 'median': 114.23838806152344}","(79.45670027600005, 18.120212555000023, 79.60823806600007, 18.266255774000058)",31-12-2023.geojson,Kamalapur,,,,,
Peddapalli,TSSD0210,60.42,"{'min': 115.29220581054688, 'max': 115.71022033691406, 'mean': 115.3415892593504, 'count': 254, 'sum': 29296.763671875, 'median': 115.29220581054688}","(79.44875966900008, 18.60172770400004, 79.55246524200004, 18.72207649300003)",31-12-2023.geojson,Kamanpur,,,,,
Kamareddy,TSSD0211,128.44,"{'min': 96.67488861083984, 'max': 98.90245056152344, 'mean': 97.0135857077206, 'count': 544, 'sum': 52775.390625, 'median': 96.67488861083984}","(78.28734170500007, 18.25636160700003, 78.42834563700006, 18.390731163000055)",31-12-2023.geojson,Kamareddy,,,,,
Khammam,TSSD0212,181.36,"{'min': 125.33174896240234, 'max': 130.43080139160156, 'mean': 125.68594364351245, 'count': 763, 'sum': 95898.375, 'median': 125.33174896240234}","(80.15945686500004, 17.360238606000053, 80.35567105000007, 17.479176385000073)",31-12-2023.geojson,Kamepally,,,,,
Nalgonda,TSSD0213,224.78,"{'min': 119.03040313720703, 'max': 125.59841918945312, 'mean': 124.32359161857293, 'count': 953, 'sum': 118480.3828125, 'median': 124.93408966064453}","(79.08479661000007, 16.864916728000026, 79.34770917300006, 17.030184575000078)",31-12-2023.geojson,Kanagal,,,,,
Sangareddy,TSSD0214,133.14,"{'min': 104.4433364868164, 'max': 112.9814453125, 'mean': 109.76389199463327, 'count': 559, 'sum': 61358.015625, 'median': 108.01195526123047}","(78.05577804100005, 17.483520140000053, 78.23367294200006, 17.655179960000055)",31-12-2023.geojson,Kandi,,,,,
Rangareddy,TSSD0215,307.2,"{'min': 108.60623168945312, 'max': 117.31759643554688, 'mean': 109.96042391724671, 'count': 1293, 'sum': 142178.828125, 'median': 108.60623168945312}","(78.37786338200004, 16.983478904000037, 78.61378330000008, 17.178800228000057)",31-12-2023.geojson,Kandukur,,,,,
Sangareddy,TSSD0216,229.57,"{'min': 97.8023681640625, 'max': 98.65887451171875, 'mean': 98.5564802631579, 'count': 950, 'sum': 93628.65625, 'median': 98.65887451171875}","(77.57077416300007, 18.120266103000063, 77.74494665400005, 18.30851545200005)",31-12-2023.geojson,Kangti,,,,,
Mulugu,TSSD0217,375.33,"{'min': 87.72037506103516, 'max': 94.13079071044922, 'mean': 87.93089470791458, 'count': 1592, 'sum': 139985.984375, 'median': 87.72037506103516}","(80.21744759700005, 18.35017838500005, 80.43136112100007, 18.610090848000027)",31-12-2023.geojson,Kannaigudem,,,,,
Mancherial,TSSD0218,169.42,"{'min': 88.35883331298828, 'max': 107.10649108886719, 'mean': 93.60863351100413, 'count': 727, 'sum': 68053.4765625, 'median': 88.35883331298828}","(79.54341301, 19.086726224000074, 79.80515899400007, 19.21311288000004)",31-12-2023.geojson,Kannepalli,,,,,
Medchal_Malkajgiri,TSSD0219,37.4,"{'min': 111.91612243652344, 'max': 111.91612243652344, 'mean': 111.91612903225807, 'count': 155, 'sum': 17347.0, 'median': 111.91612243652344}","(78.53993706400007, 17.44957181700005, 78.62275029699998, 17.55306448500005)",31-12-2023.geojson,Kapra,,,,,
Bhadradri Kothagudem,TSSD0220,222.05,"{'min': 93.42462921142578, 'max': 103.66356658935547, 'mean': 103.24414687833512, 'count': 937, 'sum': 96739.765625, 'median': 103.66356658935547}","(80.43846561000004, 17.91182510400006, 80.64919648500006, 18.143483696000033)",31-12-2023.geojson,Karakagudem,,,,,
