district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Nalgonda,TSSD0365,234.39,"{'min': 29.303043365478516, 'max': 37.25090789794922, 'mean': 33.36699373759921, 'count': 63, 'sum': 2102.12060546875, 'median': 33.616085052490234}","(79.12064748900008, 17.11371295600003, 79.30389623300005, 17.35996707100003)",01-02-2023.geojson,Narketpally,,,,,
Jangoan,TSSD0366,125.01,"{'min': 31.25782585144043, 'max': 34.6943473815918, 'mean': 33.27637458570076, 'count': 33, 'sum': 1098.120361328125, 'median': 33.299564361572266}","(79.09279653800007, 17.82066930900004, 79.25505581500005, 17.932063776000064)",01-02-2023.geojson,Narmetta,,,,,
Adilabad,TSSD0367,201.81,"{'min': 34.801666259765625, 'max': 38.0, 'mean': 36.516742058520045, 'count': 53, 'sum': 1935.3873291015625, 'median': 36.501304626464844}","(78.75741661700005, 19.424395872000048, 78.97780666900007, 19.57535441500005)",01-02-2023.geojson,Narnoor,,,,,
Warangal_Rural,TSSD0368,128.11,"{'min': 28.826520919799805, 'max': 32.67521667480469, 'mean': 31.012418746948242, 'count': 32, 'sum': 992.3973999023438, 'median': 31.196666717529297}","(79.80201610100005, 17.882928224000068, 79.94435882900007, 18.020538076000037)",01-02-2023.geojson,Narsampet,,,,,
Medak,TSSD0369,177.98,"{'min': 30.619565963745117, 'max': 33.954349517822266, 'mean': 32.24563953488372, 'count': 43, 'sum': 1386.5625, 'median': 32.262725830078125}","(78.16308671700006, 17.659841237000023, 78.33116213500006, 17.840150954000023)",01-02-2023.geojson,Narsapur,,,,,
Nirmal,TSSD0370,147.48,"{'min': 27.439167022705078, 'max': 36.217498779296875, 'mean': 32.163472493489586, 'count': 42, 'sum': 1350.8658447265625, 'median': 32.173583984375}","(78.07428315700008, 19.02509410700003, 78.21913771600003, 19.23774101400005)",01-02-2023.geojson,Narsapur_G,,,,,
Mahabubabad,TSSD0371,100.62,"{'min': 30.028261184692383, 'max': 32.73782730102539, 'mean': 31.21611870659722, 'count': 27, 'sum': 842.835205078125, 'median': 31.28478240966797}","(79.74961810900004, 17.432922034000057, 79.85804564900008, 17.55949727500007)",01-02-2023.geojson,Narsimhulapet,,,,,
Medak,TSSD0372,55.63,"{'min': 28.987390518188477, 'max': 33.873477935791016, 'mean': 30.992984771728516, 'count': 16, 'sum': 495.88775634765625, 'median': 30.73181915283203}","(78.39229916300008, 17.98830749900003, 78.47149849900006, 18.093264383000076)",01-02-2023.geojson,Narsingi,,,,,
Narayanpet,TSSD0373,194.24,"{'min': 32.28217315673828, 'max': 38.76652145385742, 'mean': 36.52595458984375, 'count': 50, 'sum': 1826.2977294921875, 'median': 36.60136413574219}","(77.57900273500007, 16.392118486000072, 77.76051168400005, 16.55740275000005)",01-02-2023.geojson,Narva,,,,,
Mancherial,TSSD0374,52.98,"{'min': 30.069129943847656, 'max': 34.35260772705078, 'mean': 32.90372576032366, 'count': 14, 'sum': 460.65216064453125, 'median': 33.41130065917969}","(79.45022792100008, 18.798759303000054, 79.52726676000003, 18.914394050000055)",01-02-2023.geojson,Naspur,,,,,
Kamareddy,TSSD0375,102.21,"{'min': 26.2731990814209, 'max': 31.884166717529297, 'mean': 28.147589547293528, 'count': 28, 'sum': 788.1325073242188, 'median': 27.65166664123535}","(77.81879634400008, 18.411273927000025, 77.97648352900006, 18.509137527000064)",01-02-2023.geojson,Nasurullabad,,,,,
Nizamabad,TSSD0376,192.08,"{'min': 27.275217056274414, 'max': 31.08919906616211, 'mean': 29.0566650390625, 'count': 50, 'sum': 1452.833251953125, 'median': 29.215930938720703}","(77.94333219400005, 18.72259983600003, 78.08733714300007, 18.94072022900008)",01-02-2023.geojson,Navipet,,,,,
Mahabubnagar,TSSD0377,296.21,"{'min': 32.56130599975586, 'max': 36.123043060302734, 'mean': 34.45601029829545, 'count': 77, 'sum': 2653.11279296875, 'median': 34.5099983215332}","(77.92099457500007, 16.78332651100004, 78.11899967800008, 17.01427203800006)",01-02-2023.geojson,Nawabpet,,,,,
Vikarabad,TSSD0378,158.3,"{'min': 35.34000015258789, 'max': 38.26166534423828, 'mean': 37.21386123285061, 'count': 41, 'sum': 1525.768310546875, 'median': 37.432498931884766}","(77.88176503700004, 17.365495641000052, 78.07175069100003, 17.471223939000026)",01-02-2023.geojson,Nawabpet,,,,,
Warangal_Rural,TSSD0379,188.28,"{'min': 29.328332901000977, 'max': 31.991666793823242, 'mean': 30.5299755859375, 'count': 50, 'sum': 1526.498779296875, 'median': 30.46434783935547}","(79.74746045700005, 17.696488769000155, 79.90634128700003, 17.879678624000064)",01-02-2023.geojson,Nekkonda,,,,,
Khammam,TSSD0380,186.76,"{'min': 26.966190338134766, 'max': 31.93842124938965, 'mean': 29.43398736447704, 'count': 49, 'sum': 1442.265380859375, 'median': 29.205238342285156}","(79.96784028800005, 16.968121411000027, 80.11000795600006, 17.174936235000075)",01-02-2023.geojson,Nelakondapally,,,,,
Mahabubabad,TSSD0381,206.97,"{'min': 29.576955795288086, 'max': 31.850000381469727, 'mean': 30.61550564236111, 'count': 54, 'sum': 1653.2373046875, 'median': 30.536087036132812}","(79.71439804300002, 17.541887375000044, 79.91872236700016, 17.698785481000073)",01-02-2023.geojson,Nellikudur,,,,,
Mancherial,TSSD0382,269.42,"{'min': 30.52166748046875, 'max': 35.279998779296875, 'mean': 32.809893540933096, 'count': 71, 'sum': 2329.50244140625, 'median': 32.69956588745117}","(79.52664994100007, 18.93089886100006, 79.73295653300005, 19.12578670700003)",01-02-2023.geojson,Nennel,,,,,
Adilabad,TSSD0383,328.19,"{'min': 32.813331604003906, 'max': 38.05666732788086, 'mean': 35.35707623771067, 'count': 89, 'sum': 3146.77978515625, 'median': 35.302799224853516}","(78.26082714200004, 19.17277807100004, 78.55364642200004, 19.39715159900004)",01-02-2023.geojson,Neradigonda,,,,,
Suryapet,TSSD0384,126.74,"{'min': 26.033477783203125, 'max': 28.504545211791992, 'mean': 27.067243303571427, 'count': 35, 'sum': 947.353515625, 'median': 27.052608489990234}","(79.61424865900005, 16.828891998000074, 79.72807247700007, 16.983950306000054)",01-02-2023.geojson,Nereducherla,,,,,
Nalgonda,TSSD0385,161.07,"{'min': 28.868261337280273, 'max': 36.115455627441406, 'mean': 34.02523526278409, 'count': 44, 'sum': 1497.1103515625, 'median': 34.205928802490234}","(78.94273533400008, 16.468748120000043, 79.11690272800007, 16.651020135000067)",01-02-2023.geojson,Neredugommu,,,,,
