district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Siddipet,TSSD0325,167.82,"{'min': 0.1815047562122345, 'max': 0.18548022210597992, 'mean': 0.1831658163736033, 'count': 43, 'sum': 7.876130104064941, 'median': 0.18303638696670532}","(78.56910611300003, 17.992796036000072, 78.73068591400005, 18.14881470800003)",30-04-2022.geojson,Mirdoddi,,,,,
Nalgonda,TSSD0326,248.98,"{'min': 0.1857898086309433, 'max': 0.19289836287498474, 'mean': 0.19086140394210815, 'count': 64, 'sum': 12.215129852294922, 'median': 0.1913432627916336}","(79.48474594700008, 16.761982963000037, 79.66781758100007, 17.007573905000072)",30-04-2022.geojson,Miryalaguda,,,,,
Sangareddy,TSSD0327,152.32,"{'min': 0.19372960925102234, 'max': 0.19864675402641296, 'mean': 0.19565597333406148, 'count': 38, 'sum': 7.434926986694336, 'median': 0.1953345239162445}","(77.44416825100006, 17.542551853000077, 77.59394938800006, 17.703749020000032)",30-04-2022.geojson,Mogudampally,,,,,
Jayashankar Bhupalpally,TSSD0328,117.77,"{'min': 0.1724528819322586, 'max': 0.17943187057971954, 'mean': 0.17705892747448337, 'count': 31, 'sum': 5.488826751708984, 'median': 0.17755095660686493}","(79.55918339200008, 18.25321451900004, 79.69624194900007, 18.367730020000067)",30-04-2022.geojson,Mogullapally,,,,,
Rangareddy,TSSD0329,210.03,"{'min': 0.1627330332994461, 'max': 0.18595126271247864, 'mean': 0.1735079105083759, 'count': 52, 'sum': 9.022411346435547, 'median': 0.1738244593143463}","(78.18364043400004, 17.24469818700004, 78.37521359500005, 17.39979780400006)",30-04-2022.geojson,Moinabad,,,,,
Vikarabad,TSSD0330,185.55,"{'min': 0.19602438807487488, 'max': 0.20458285510540009, 'mean': 0.19921575808057598, 'count': 51, 'sum': 10.160003662109375, 'median': 0.19965985417366028}","(77.80132142600007, 17.440949010000054, 78.02278448100003, 17.58481577400005)",30-04-2022.geojson,Mominpet,,,,,
Mahabubnagar,TSSD0331,95.02,"{'min': 0.1395936906337738, 'max': 0.14411328732967377, 'mean': 0.14049159563504732, 'count': 26, 'sum': 3.6527814865112305, 'median': 0.1395936906337738}","(77.88815901700008, 16.55990335200005, 78.03642113100005, 16.65578400800007)",30-04-2022.geojson,Moosapet,,,,,
Nizamabad,TSSD0332,110.93,"{'min': 0.19272999465465546, 'max': 0.21672064065933228, 'mean': 0.20498760541280112, 'count': 30, 'sum': 6.149628162384033, 'median': 0.20979049801826477}","(78.39569656400005, 18.754933092000044, 78.51049422500006, 18.895877668000026)",30-04-2022.geojson,Morthad,,,,,
Yadadri Bhuvanagiri,TSSD0333,154.09,"{'min': 0.14430706202983856, 'max': 0.1458183377981186, 'mean': 0.14437051046462285, 'count': 42, 'sum': 6.06356143951416, 'median': 0.14430706202983856}","(79.02191272500005, 17.447705855000038, 79.18771359200008, 17.614164877000064)",30-04-2022.geojson,Motakondur,,,,,
Suryapet,TSSD0334,191.84,"{'min': 0.17109596729278564, 'max': 0.1889125406742096, 'mean': 0.18049488067626954, 'count': 50, 'sum': 9.024744033813477, 'median': 0.18004657328128815}","(79.72864807600007, 17.098594648000073, 79.90108897100004, 17.295132846000058)",30-04-2022.geojson,Mothey,,,,,
Yadadri Bhuvanagiri,TSSD0335,146.43,"{'min': 0.14391499757766724, 'max': 0.15986216068267822, 'mean': 0.15221945444742838, 'count': 39, 'sum': 5.936558723449707, 'median': 0.15029682219028473}","(79.17886738600004, 17.35663582600006, 79.34505761300005, 17.499013259000037)",30-04-2022.geojson,Mothkur,,,,,
Nirmal,TSSD0336,187.43,"{'min': 0.19480843842029572, 'max': 0.21146368980407715, 'mean': 0.2083919566610585, 'count': 46, 'sum': 9.586030006408691, 'median': 0.21070949733257294}","(77.87363589400007, 18.90926259400004, 78.04943334300003, 19.05199254100006)",30-04-2022.geojson,Mudhole,,,,,
Khammam,TSSD0337,202.95,"{'min': 0.18472470343112946, 'max': 0.19592979550361633, 'mean': 0.19084785534785345, 'count': 52, 'sum': 9.924088478088379, 'median': 0.19198553264141083}","(79.99976989400005, 16.987411645000066, 80.17144520800008, 17.21465495600006)",30-04-2022.geojson,Mudigonda,,,,,
Nizamabad,TSSD0338,196.22,"{'min': 0.191135972738266, 'max': 0.20160692930221558, 'mean': 0.19649191463694854, 'count': 51, 'sum': 10.021087646484375, 'median': 0.19657379388809204}","(78.03331485400008, 18.477793812000073, 78.18413506400003, 18.66033533700005)",30-04-2022.geojson,Mugpal,,,,,
Bhadradri Kothagudem,TSSD0339,514.62,"{'min': 0.14931651949882507, 'max': 0.1584063619375229, 'mean': 0.15615385550039787, 'count': 135, 'sum': 21.08077049255371, 'median': 0.15691830217838287}","(80.70650352000007, 17.353825033000078, 80.96455307900004, 17.59430879000007)",30-04-2022.geojson,Mulakalapally,,,,,
Mulugu,TSSD0340,363.24,"{'min': 0.17986242473125458, 'max': 0.19276896119117737, 'mean': 0.1860614575837788, 'count': 95, 'sum': 17.675838470458984, 'median': 0.18717607855796814}","(79.81475825400008, 18.07019176600005, 80.14227776900003, 18.247994896000023)",30-04-2022.geojson,Mulug,,,,,
Siddipet,TSSD0341,148.86,"{'min': 0.17527978122234344, 'max': 0.17659038305282593, 'mean': 0.176086303515312, 'count': 39, 'sum': 6.867365837097168, 'median': 0.17659038305282593}","(78.49289586600008, 17.669503792000057, 78.72948919400005, 17.760743728000023)",30-04-2022.geojson,Mulug,,,,,
Suryapet,TSSD0342,140.35,"{'min': 0.17800511419773102, 'max': 0.1946173459291458, 'mean': 0.18916456699371337, 'count': 40, 'sum': 7.566582679748535, 'median': 0.1889125406742096}","(79.71348967800003, 16.97659834500007, 79.93382971200003, 17.162332160000062)",30-04-2022.geojson,Munagala,,,,,
Sangareddy,TSSD0343,221.68,"{'min': 0.21908868849277496, 'max': 0.23304538428783417, 'mean': 0.22482131208692277, 'count': 56, 'sum': 12.589993476867676, 'median': 0.22255279123783112}","(77.76970420300006, 17.61306823700005, 77.93222993400008, 17.821658166000077)",30-04-2022.geojson,Munipally,,,,,
Nalgonda,TSSD0344,242.13,"{'min': 0.13290826976299286, 'max': 0.14973486959934235, 'mean': 0.14257030776052765, 'count': 66, 'sum': 9.409640312194824, 'median': 0.14330579340457916}","(78.92781504300007, 16.99371558000007, 79.14931293500007, 17.18453899000002)",30-04-2022.geojson,Munugode,,,,,
Nizamabad,TSSD0345,53.32,"{'min': 0.21672064065933228, 'max': 0.235658198595047, 'mean': 0.23024746349879674, 'count': 14, 'sum': 3.2234644889831543, 'median': 0.235658198595047}","(78.33239376200004, 18.87289880800006, 78.45351563000008, 18.968813642000043)",30-04-2022.geojson,Mupkal,,,,,
Hyderabad,TSSD0346,9.91,"{'min': 0.16832534968852997, 'max': 0.16832534968852997, 'mean': 0.16832534968852997, 'count': 2, 'sum': 0.33665069937705994, 'median': 0.16832534968852997}","(78.47735671700008, 17.40191402800002, 78.52763446200004, 17.43504124900005)",30-04-2022.geojson,Musheerabad,,,,,
Rajanna Sircilla,TSSD0347,162.34,"{'min': 0.1805097758769989, 'max': 0.1884198635816574, 'mean': 0.18443329389705215, 'count': 43, 'sum': 7.930631637573242, 'median': 0.18342998623847961}","(78.62827650500003, 18.21376387500004, 78.77109860300004, 18.360829288000048)",30-04-2022.geojson,Mustabad,,,,,
Jayashankar Bhupalpally,TSSD0348,603.81,"{'min': 0.184883713722229, 'max': 0.2058066576719284, 'mean': 0.19654996395111085, 'count': 160, 'sum': 31.447994232177734, 'median': 0.19620686769485474}","(79.93211438700007, 18.348852581000074, 80.27331132300003, 18.665550444000075)",30-04-2022.geojson,Mutharam_Mahadevpur,,,,,
Peddapalli,TSSD0349,143.95,"{'min': 0.17140914499759674, 'max': 0.17946623265743256, 'mean': 0.17442456044648824, 'count': 38, 'sum': 6.628133296966553, 'median': 0.17356552183628082}","(79.56376559100005, 18.46670946200004, 79.71861493100005, 18.60236795900005)",30-04-2022.geojson,Mutharam_Manthani,,,,,
Suryapet,TSSD0350,132.47,"{'min': 0.17800511419773102, 'max': 0.19101522862911224, 'mean': 0.18360328674316406, 'count': 33, 'sum': 6.058908462524414, 'median': 0.18488208949565887}","(79.81542641000004, 17.031014071000072, 79.94769370600005, 17.174546916000054)",30-04-2022.geojson,Nadigudem,,,,,
Sangareddy,TSSD0351,148.84,"{'min': 0.18917517364025116, 'max': 0.2045108526945114, 'mean': 0.19609059095382692, 'count': 40, 'sum': 7.843623638153076, 'median': 0.1974482536315918}","(77.54918865800005, 17.98547994300003, 77.71900749600007, 18.124343363000037)",30-04-2022.geojson,Nagalgidda,,,,,
Suryapet,TSSD0352,134.54,"{'min': 0.16991357505321503, 'max': 0.18308675289154053, 'mean': 0.17915300641741072, 'count': 35, 'sum': 6.270355224609375, 'median': 0.17952796816825867}","(79.41253491600008, 17.34124849500006, 79.57155473400007, 17.45790335600003)",30-04-2022.geojson,Nagaram,,,,,
Kamareddy,TSSD0353,138.95,"{'min': 0.19337692856788635, 'max': 0.21573442220687866, 'mean': 0.20679827297435088, 'count': 34, 'sum': 7.03114128112793, 'median': 0.20574626326560974}","(78.01381962800008, 18.068441783000026, 78.17948646600007, 18.201817321000078)",30-04-2022.geojson,Nagi_Reddypet,,,,,
Nalgonda,TSSD0354,151.19,"{'min': 0.17374423146247864, 'max': 0.18652969598770142, 'mean': 0.17906043529510499, 'count': 40, 'sum': 7.162417411804199, 'median': 0.17529284954071045}","(79.36271400100003, 17.074334117000035, 79.51356132300003, 17.265691678000053)",30-04-2022.geojson,Nakrekal,,,,,
Nalgonda,TSSD0355,356.0,"{'min': 0.14330579340457916, 'max': 0.17941714823246002, 'mean': 0.15854710798997146, 'count': 91, 'sum': 14.427786827087402, 'median': 0.1552567332983017}","(79.11238633500005, 16.95004682000007, 79.38632643800008, 17.14875526800006)",30-04-2022.geojson,Nalgonda,,,,,
Warangal_Rural,TSSD0356,164.31,"{'min': 0.18101349472999573, 'max': 0.18810401856899261, 'mean': 0.18366312980651855, 'count': 48, 'sum': 8.81583023071289, 'median': 0.18450990319252014}","(79.81066170600008, 17.993540445000065, 80.04124404200007, 18.11528805000006)",30-04-2022.geojson,Nallabelli,,,,,
Hyderabad,TSSD0357,11.34,"{'min': 0.0, 'max': 0.16832534968852997, 'mean': 0.05610844989617666, 'count': 3, 'sum': 0.16832534968852997, 'median': 0.0}","(78.45809052700008, 17.36457170500006, 78.49555773000003, 17.405714060000037)",30-04-2022.geojson,Nampally,,,,,
Nalgonda,TSSD0358,280.57,"{'min': 0.11899018287658691, 'max': 0.14822793006896973, 'mean': 0.1291706529382157, 'count': 73, 'sum': 9.429457664489746, 'median': 0.12394431233406067}","(78.84925232700004, 16.740287084000045, 79.04788463500006, 16.965538953000078)",30-04-2022.geojson,Nampally,,,,,
Rangareddy,TSSD0359,86.28,"{'min': 0.1404978632926941, 'max': 0.16122499108314514, 'mean': 0.15209507942199707, 'count': 22, 'sum': 3.3460917472839355, 'median': 0.15118233859539032}","(78.16420628000003, 17.07450775600006, 78.31375295500004, 17.187439899000026)",30-04-2022.geojson,Nandigama,,,,,
