district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Nagarkurnool,TSD0011,6399.07,"{'min': 5.1076478888789894e-05, 'max': 6.711037226274525e-05, 'mean': 5.8057658878400986e-05, 'count': 1639, 'sum': 0.09515650290169922, 'median': 5.7943078575244805e-05}","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",01-01-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{'min': 5.456910547158995e-05, 'max': 9.845719140080502e-05, 'mean': 6.421139674030651e-05, 'count': 1890, 'sum': 0.1213595398391793, 'median': 6.286459699563068e-05}","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",01-01-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{'min': 6.433511421661472e-05, 'max': 7.527260603078166e-05, 'mean': 6.915059036097099e-05, 'count': 991, 'sum': 0.06852823504772225, 'median': 6.916382069255858e-05}","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",01-01-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{'min': 6.242252480539369e-05, 'max': 7.458507074131937e-05, 'mean': 6.761245203171432e-05, 'count': 1101, 'sum': 0.07444130968691746, 'median': 6.744295109942235e-05}","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",01-01-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{'min': 7.854385201819198e-05, 'max': 0.0002909223300383696, 'mean': 0.00011577997614737497, 'count': 582, 'sum': 0.06738394611777224, 'median': 0.00010098857910543262}","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",01-01-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{'min': 6.456263590531814e-05, 'max': 8.026338857862293e-05, 'mean': 7.234867902743052e-05, 'count': 504, 'sum': 0.03646373422982498, 'median': 7.283609182899217e-05}","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",01-01-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{'min': 6.347723165121972e-05, 'max': 0.000122849070287296, 'mean': 7.509227966083693e-05, 'count': 1176, 'sum': 0.08830852088114423, 'median': 7.152962120943675e-05}","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",01-01-2023.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{'min': 6.395014274134316e-05, 'max': 8.829178863861138e-05, 'mean': 7.252699050770532e-05, 'count': 969, 'sum': 0.07027865380196645, 'median': 7.200457071777794e-05}","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",01-01-2023.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{'min': 6.375346874188744e-05, 'max': 0.0001260079655904562, 'mean': 7.044956208738518e-05, 'count': 946, 'sum': 0.06664528573466638, 'median': 6.94799189317151e-05}","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",01-01-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{'min': 5.767835289373694e-05, 'max': 6.739691825067597e-05, 'mean': 6.240625294537984e-05, 'count': 571, 'sum': 0.035633970431811886, 'median': 6.240316814555526e-05}","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",01-01-2023.geojson,,,,,,
